what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1418080505357
java.vm.version,sysinfo,,,"23.25-b01",1418080505357
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1418080505412
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1418080505421
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1418080505421
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1418080505537
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1418080505537
stopped,bundle,com.python.pydev.debug,3.9.0.201411111611,"com.python.pydev.debug",1418080505543
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1418080505660
error,log,,,"Unhandled Exception",1418080505668
error,log,,,"Unable to execute early startup code for an extension",1418080505674
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418080506841
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418080508041
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418080508209
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1418080508645
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1418080508645
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1418080508645
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1418080508645
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1418080508646
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1418080508646
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1418080508647
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1418080508647
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1418080508647
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1418080508647
stopped,bundle,com.python.pydev.codecompletion,3.9.0.201411111611,"com.python.pydev.codecompletion",1418080508647
stopped,bundle,com.python.pydev.refactoring,3.9.0.201411111611,"com.python.pydev.refactoring",1418080508647
stopped,bundle,com.python.pydev.analysis,3.9.0.201411111611,"com.python.pydev.analysis",1418080508647
stopped,bundle,com.python.pydev.fastparser,3.9.0.201411111611,"com.python.pydev.fastparser",1418080508647
stopped,bundle,com.python.pydev,3.9.0.201411111611,"com.python.pydev",1418080508648
stopped,bundle,org.python.pydev.django,3.9.0.201411111611,"org.python.pydev.django",1418080508648
stopped,bundle,org.python.pydev.customizations,3.9.0.201411111611,"org.python.pydev.customizations",1418080508648
stopped,bundle,org.python.pydev.debug,3.9.0.201411111611,"org.python.pydev.debug",1418080508650
stopped,bundle,org.python.pydev.mylyn,0.4.0,"org.python.pydev.mylyn",1418080508650
stopped,bundle,org.python.pydev.refactoring,3.9.0.201411111611,"org.python.pydev.refactoring",1418080508650
stopped,bundle,org.python.pydev,3.9.0.201411111611,"org.python.pydev",1418080508662
